GA ID,Project Title,Agency,Approval Date,Publish Date,Category,Grant Term,Value (AUD),Ad hoc/One-off,Aggregate Grant Award,PBS Program Name,Grant Program,Grant Activity,Purpose,Internal Reference ID,Confidentiality - Contract,Confidentiality - Outputs,Recipient Name,Recipient ABN,Grant Recipient Suburb,Grant Recipient Town/City,Grant Recipient Postcode,Grant Recipient State/Territory,Grant Recipient Country,Grant Delivery State/Territory,Grant Delivery Postcode,Grant Delivery Country,Variations,Selection Process,GO ID,GO Title,Confidentiality Reason(s) - Contract,Variation 0 Grant Term Commencement,Variation 0 Grant Term Termination,Variation 0 Grant Value (AUD),Variation 1 Grant Term Commencement,Variation 1 Grant Term Termination,Variation 1 Grant Value (AUD),Variation 2 Grant Term Commencement,Variation 2 Grant Term Termination,Variation 2 Grant Value (AUD),Variation 3 Grant Term Commencement,Variation 3 Grant Term Termination,Variation 3 Grant Value (AUD),Variation 4 Grant Term Commencement,Variation 4 Grant Term Termination,Variation 4 Grant Value (AUD),Variation 5 Grant Term Commencement,Variation 5 Grant Term Termination,Variation 5 Grant Value (AUD),Variation 6 Grant Term Commencement,Variation 6 Grant Term Termination,Variation 6 Grant Value (AUD),Variation 7 Grant Term Commencement,Variation 7 Grant Term Termination,Variation 7 Grant Value (AUD),Variation 8 Grant Term Commencement,Variation 8 Grant Term Termination,Variation 8 Grant Value (AUD),Variation 9 Grant Term Commencement,Variation 9 Grant Term Termination,Variation 9 Grant Value (AUD)
GA11574,Commonwealth Home Support Programme,Department of Health,13-Mar-18,23-Jul-18,Aged Care,1-Jul-2018 to 30-Jun-2022,"134,129.32",No,No,DoH 18/19 Health Output 6.2 2018-19 Aged Care Services,CHSP Personal Care,Commonwealth Home Support Programme,"The Commonwealth Home Support Programme aims to support eligible older people to live as independently as possible, in their own home and community, for as long as they can and wish, through the provision of timely, entry-level home support services.",4-7W40MM1,No,No,East Arnhem Regional Council,92 334 301 078,NHULUNBUY,NHULUNBUY,880,NT,AUSTRALIA,NT,,AUSTRALIA,"['GA11574-V2 - Change to End Date (26-Aug-2020 )', 'GA11574-V1 - Increase in funding (19-Mar-2019 )']",Closed Non-Competitive,,,,,,,1-Jul-18,30-Jun-20,"65,541.42",1-Jul-18,30-Jun-22,"134,129.32",,,,,,,,,,,,,,,,,,,,,
GA11592,Commonwealth Home Support Programme,Department of Health,13-Mar-18,23-Jul-18,Aged Care,1-Jul-2018 to 30-Jun-2022,"111,371.40",No,No,DoH 18/19 Health Output 6.2 2018-19 Aged Care Services,CHSP Personal Care,Commonwealth Home Support Programme,"The Commonwealth Home Support Programme aims to support eligible older people to live as independently as possible, in their own home and community, for as long as they can and wish, through the provision of timely, entry-level home support services.",4-7W54BV2,No,No,Western Desert Nganampa Walytja Palyantjaku Tjutaku Aboriginal Corporation,94 755 012 884,GILLEN,GILLEN,870,NT,AUSTRALIA,NT,,AUSTRALIA,"['GA11592-V3 - Increase in funding (9-Sep-2020 )', 'GA11592-V2 - Change to End Date (26-Aug-2020 )', 'GA11592-V1 - Increase in funding (19-Mar-2019 )']",Closed Non-Competitive,GO2731,Commonwealth Home Support Programme Extension 1 July 2020 – 30 June 2022,,,,,1-Jul-18,30-Jun-20,"50,602.51",1-Jul-18,30-Jun-22,"103,557.12",1-Jul-18,30-Jun-22,"111,371.40",,,,,,,,,,,,,,,,,,
GA11596,Commonwealth Home Support Programme,Department of Health,13-Mar-18,23-Jul-18,Aged Care,1-Jul-2018 to 30-Jun-2022,"100,788.85",No,No,DoH 18/19 Health Output 6.2 2018-19 Aged Care Services,CHSP Personal Care,Commonwealth Home Support Programme,"The Commonwealth Home Support Programme aims to support eligible older people to live as independently as possible, in their own home and community, for as long as they can and wish, through the provision of timely, entry-level home support services.",4-7W57EI0,No,No,West Arnhem Regional Council,45 065 336 873,JABIRU,JABIRU,886,NT,AUSTRALIA,NT,,AUSTRALIA,"['GA11596-V2 - Change to End Date (26-Aug-2020 )', 'GA11596-V1 - Increase in funding (19-Mar-2019 )']",Closed Non-Competitive,,,,,,,1-Jul-18,30-Jun-20,"49,249.82",1-Jul-18,30-Jun-22,"100,788.85",,,,,,,,,,,,,,,,,,,,,
GA115,John Mawurndjul: I am the old I am the new (national touring exhibition),"Department of Infrastructure, Transport, Regional Development and Communications",23-Nov-17,8-Jan-18,Museums and Galleries,21-Dec-2017 to 31-Jul-2021,"253,842.60",No,No,ITCRD 17/18 Program 2.1,Visions of Australia,John Mawurndjul,"The exhibition was developed in partnership with the Art Gallery of South Australia. It records and tells the story of John Mawurndjul, one of Australia’s leading Aboriginal visual artists.",VA000102,No,No,Museum of Contemporary Art Australia,15 003 765 517,Sydney,Sydney,2000,NSW,AUSTRALIA,"ACT, NSW, VIC, QLD, NT",Multiple,AUSTRALIA,"GA115-V1 - Variation to extend end date, due to COVID-19. (14-Aug-2020 )",Open Competitive,,,,,,,21-Dec-17,31-Jul-21,"253,842.60",1-Jul-18,"30-Jun-2022
                        Original","111,371.40",,,,1-Jul-18,"30-Jun-2022
                        Original","134,129.32",,,,1-Jul-18,"30-Jun-2022
                        Original","100,788.85",,,,,,,,,
GA11611,Commonwealth Home Support Programme,Department of Health,13-Mar-18,23-Jul-18,Aged Care,1-Jul-2018 to 30-Jun-2022,"75,462.02",No,No,DoH 18/19 Health Output 6.2 2018-19 Aged Care Services,CHSP Personal Care,Commonwealth Home Support Programme,"The Commonwealth Home Support Programme aims to support eligible older people to live as independently as possible, in their own home and community, for as long as they can and wish, through the provision of timely, entry-level home support services.",4-7W4X0UG,No,No,Central Desert Regional Council,93 873 628 303,ALICE SPRINGS,ALICE SPRINGS,871,NT,AUSTRALIA,NT,,AUSTRALIA,"['GA11611-V2 - Change to End Date (26-Aug-2020 )', 'GA11611-V1 - Increase in funding (19-Mar-2019 )']",Closed Non-Competitive,,,,,,,1-Jul-18,30-Jun-20,"36,874.02",1-Jul-18,30-Jun-22,"75,462.02",,,,,,,,,,,,,,,,,,,,,
GA11631,Commonwealth Home Support Programme,Department of Health,13-Mar-18,23-Jul-18,Aged Care,1-Jul-2018 to 31-Dec-2019,"39,200.02",No,No,DoH 18/19 Health Output 6.2 2018-19 Aged Care Services,CHSP Personal Care,Commonwealth Home Support Programme,"The Commonwealth Home Support Programme aims to support eligible older people to live as independently as possible, in their own home and community, for as long as they can and wish, through the provision of timely, entry-level home support services.",4-7WBJSPB,No,No,West Daly Regional Council,25 966 579 574,DARWIN,DARWIN,800,NT,AUSTRALIA,NT,,AUSTRALIA,"['GA11631-V2 - Decrease in funding (26-Aug-2020 )', 'GA11631-V1 - Increase in funding (19-Mar-2019 )']",Closed Non-Competitive,,,,,,,1-Jul-18,30-Jun-19,"52,266.70",1-Jul-18,31-Dec-19,"39,200.02",,,,,,,,,,,,,,,,,,,,,
GA11645,Commonwealth Home Support Programme,Department of Health,13-Mar-18,23-Jul-18,Aged Care,1-Jul-2018 to 30-Jun-2022,"41,512.77",No,No,DoH 18/19 Health Output 6.2 2018-19 Aged Care Services,CHSP Personal Care,Commonwealth Home Support Programme,"The Commonwealth Home Support Programme aims to support eligible older people to live as independently as possible, in their own home and community, for as long as they can and wish, through the provision of timely, entry-level home support services.",4-7W5B7FN,No,No,Barkly Regional Council,32 171 281 456,TENNANT CREEK,TENNANT CREEK,860,NT,AUSTRALIA,NT,,AUSTRALIA,"['GA11645-V3 - Increase in funding (12-Apr-2021 )', 'GA11645-V2 - Change to End Date (26-Aug-2020 )', 'GA11645-V1 - Increase in funding (19-Mar-2019 )']",Closed Non-Competitive,,,,,,,1-Jul-18,30-Jun-20,"19,859.14",1-Jul-18,30-Jun-22,"40,641.36",1-Jul-18,30-Jun-22,"41,512.77",,,,,,,,,,,,,,,,,,
GA11646,Commonwealth Home Support Programme,Department of Health,13-Mar-18,23-Jul-18,Aged Care,1-Jul-2018 to 30-Jun-2022,"40,074.95",No,No,DoH 18/19 Health Output 6.2 2018-19 Aged Care Services,CHSP Personal Care,Commonwealth Home Support Programme,"The Commonwealth Home Support Programme aims to support eligible older people to live as independently as possible, in their own home and community, for as long as they can and wish, through the provision of timely, entry-level home support services.",4-7WA6QDH,No,No,Victoria Daly Regional Council,66 931 675 319,KATHERINE,KATHERINE,851,NT,AUSTRALIA,NT,,AUSTRALIA,"['GA11646-V2 - Change to End Date (26-Aug-2020 )', 'GA11646-V1 - Increase in funding (19-Mar-2019 )']",Closed Non-Competitive,,,,,,,1-Jul-18,30-Jun-20,"19,582.36",1-Jul-18,30-Jun-22,"40,074.95",,,,,,,,,,,,,,,,,,,,,
GA11654,Commonwealth Home Support Programme,Department of Health,13-Mar-18,23-Jul-18,Aged Care,1-Jul-2018 to 30-Jun-2022,"31,333.13",No,No,DoH 18/19 Health Output 6.2 2018-19 Aged Care Services,CHSP Personal Care,Commonwealth Home Support Programme,"The Commonwealth Home Support Programme aims to support eligible older people to live as independently as possible, in their own home and community, for as long as they can and wish, through the provision of timely, entry-level home support services.",4-7W49G7M,No,No,The Kalano Community Association Incorporated,17 030 032 930,KATHERINE,KATHERINE,850,NT,AUSTRALIA,NT,,AUSTRALIA,"['GA11654-V2 - Change to End Date (26-Aug-2020 )', 'GA11654-V1 - Increase in funding (19-Mar-2019 )']",Closed Non-Competitive,,,,,,,1-Jul-18,30-Jun-20,"15,310.72",1-Jul-18,30-Jun-22,"31,333.13",,,,,,,,,,,,,,,,,,,,,
GA11659,Commonwealth Home Support Programme,Department of Health,13-Mar-18,23-Jul-18,Aged Care,1-Jul-2018 to 30-Jun-2022,"28,646.43",No,No,DoH 18/19 Health Output 6.2 2018-19 Aged Care Services,CHSP Personal Care,Commonwealth Home Support Programme,"The Commonwealth Home Support Programme aims to support eligible older people to live as independently as possible, in their own home and community, for as long as they can and wish, through the provision of timely, entry-level home support services.",4-7XCMAH0,No,No,Mala'la Health Service Aboriginal Corporation                            Original,89 357 836 457,MANINGRIDA,MANINGRIDA,822,NT,AUSTRALIA,NT,,AUSTRALIA,"['GA11659-V2 - Change to End Date (26-Aug-2020 )', 'GA11659-V1 - Increase in funding (19-Mar-2019 )']",Closed Non-Competitive,,,,,,,1-Jul-18,30-Jun-20,"13,997.90",1-Jul-18,30-Jun-22,"28,646.43",,,,,,,,,,,,,,,,,,,,,
GA11669,Commonwealth Home Support Programme,Department of Health,13-Mar-18,23-Jul-18,Aged Care,1-Jul-2018 to 30-Sep-2020,"9,755.17",No,No,DoH 18/19 Health Output 6.2 2018-19 Aged Care Services,CHSP Personal Care,Commonwealth Home Support Programme,"The Commonwealth Home Support Programme aims to support eligible older people to live as independently as possible, in their own home and community, for as long as they can and wish, through the provision of timely, entry-level home support services.",4-7W5PPDN,No,No,Mampu Maninja-Kurlangu Jarlu Patu-Ku Aboriginal Corporation,37 001 779 820,YUENDUMU,YUENDUMU,872,NT,AUSTRALIA,NT,,AUSTRALIA,"['GA11669-V4 - Change to End Date (22-Oct-2020 )', 'GA11669-V3 - Decrease in funding (9-Sep-2020 )', 'GA11669-V2 - Change to End Date (26-Aug-2020 )', 'GA11669-V1 - Increase in funding (19-Mar-2019 )']",Closed Non-Competitive,,,,,,,1-Jul-18,30-Jun-20,"8,585.19",1-Jul-18,30-Jun-22,"17,569.45",1-Jul-18,30-Jun-22,"9,755.17",1-Jul-18,30-Sep-20,"9,755.17",,,,,,,,,,,,,,,
GA11671,Commonwealth Home Support Programme,Department of Health,13-Mar-18,23-Jul-18,Aged Care,1-Jul-2018 to 30-Jun-2022,"16,744.26",No,No,DoH 18/19 Health Output 6.2 2018-19 Aged Care Services,CHSP Personal Care,Commonwealth Home Support Programme,"The Commonwealth Home Support Programme aims to support eligible older people to live as independently as possible, in their own home and community, for as long as they can and wish, through the provision of timely, entry-level home support services.",4-7W5NPLY,No,No,MacDonnell Regional Council,21 340 804 903,ALICE SPRINGS,ALICE SPRINGS,870,NT,AUSTRALIA,NT,,AUSTRALIA,"['GA11671-V2 - Change to End Date (26-Aug-2020 )', 'GA11671-V1 - Increase in funding (19-Mar-2019 )']",Closed Non-Competitive,,,,,,,1-Jul-18,30-Jun-20,"8,181.96",1-Jul-18,30-Jun-22,"16,744.26",,,,,,,,,,,,,,,,,,,,,
GA11672,Commonwealth Home Support Programme,Department of Health,13-Mar-18,23-Jul-18,Aged Care,1-Jul-2018 to 30-Jun-2022,"57,071.25",No,No,DoH 21/22 Hlth Output 3.2 Aged Care Services,CHSP Personal Care,Commonwealth Home Support Programme,"The Commonwealth Home Support Programme aims to support eligible older people to live as independently as possible, in their own home and community, for as long as they can and wish, through the provision of timely, entry-level home support services.",4-7XNDFNY,No,No,Pintupi Homelands Health Service (Aboriginal Corporation),56 005 261 226,KINTORE,KINTORE,872,NT,AUSTRALIA,NT,,AUSTRALIA,"['GA11672-V3 - Increase in funding (14-Oct-2021 )', 'GA11672-V2 - Change to End Date (26-Aug-2020 )', 'GA11672-V1 - Increase in funding (19-Mar-2019 )']",Closed Non-Competitive,,,,,,,1-Jul-18,30-Jun-20,"7,730.95",1-Jul-18,30-Jun-22,"15,821.25",1-Jul-18,30-Jun-22,"57,071.25",,,,,,,,,,,,,,,,,,
GA11676,Commonwealth Home Support Programme,Department of Health,13-Mar-18,23-Jul-18,Aged Care,1-Jul-2018 to 30-Jun-2022,"10,334.53",No,No,DoH 18/19 Health Output 6.2 2018-19 Aged Care Services,CHSP Personal Care,Commonwealth Home Support Programme,"The Commonwealth Home Support Programme aims to support eligible older people to live as independently as possible, in their own home and community, for as long as they can and wish, through the provision of timely, entry-level home support services.",4-7WG2L18,No,No,Alawa Aboriginal Corporation,70 139 074 876,KATHERINE,KATHERINE,852,NT,AUSTRALIA,NT,,AUSTRALIA,"['GA11676-V2 - Change to End Date (26-Aug-2020 )', 'GA11676-V1 - Increase in funding (19-Mar-2019 )']",Closed Non-Competitive,,,,,,,1-Jul-18,30-Jun-20,"5,049.90",1-Jul-18,30-Jun-22,"10,334.53",,,,,,,,,,,,,,,,,,,,,
GA11680,Commonwealth Home Support Programme,Department of Health,13-Mar-18,23-Jul-18,Aged Care,1-Jul-2018 to 30-Jun-2022,"2,505.26",No,No,DoH 18/19 Health Output 6.2 2018-19 Aged Care Services,CHSP Personal Care,Commonwealth Home Support Programme,"The Commonwealth Home Support Programme aims to support eligible older people to live as independently as possible, in their own home and community, for as long as they can and wish, through the provision of timely, entry-level home support services.",4-7W5BN7E,No,No,Belyuen Community Government Council,88 194 280 330,COX PENINSULA,COX PENINSULA,822,NT,AUSTRALIA,NT,,AUSTRALIA,"['GA11680-V2 - Change to End Date (26-Aug-2020 )', 'GA11680-V1 - Increase in funding (19-Mar-2019 )']",Closed Non-Competitive,,,,,,,1-Jul-18,30-Jun-20,"1,224.18",1-Jul-18,30-Jun-22,"2,505.26",,,,,,,,,,,,,,,,,,,,,
GA11681,Commonwealth Home Support Programme,Department of Health,13-Mar-18,23-Jul-18,Aged Care,1-Jul-2018 to 30-Jun-2022,"261,582.44",No,No,DoH 18/19 Health Output 6.2 2018-19 Aged Care Services,CHSP Personal Care,Commonwealth Home Support Programme,"The Commonwealth Home Support Programme aims to support eligible older people to live as independently as possible, in their own home and community, for as long as they can and wish, through the provision of timely, entry-level home support services.",4-7W4TGLC,No,No,Roper Gulf Regional Council,94 746 956 090,KATHERINE EAST,KATHERINE EAST,850,NT,AUSTRALIA,NT,,AUSTRALIA,"['GA11681-V2 - Change to End Date (26-Aug-2020 )', 'GA11681-V1 - Increase in funding (19-Mar-2019 )']",Closed Non-Competitive,GO2731,Commonwealth Home Support Programme Extension 1 July 2020 – 30 June 2022,,,,,1-Jul-18,30-Jun-20,987.26,1-Jul-18,30-Jun-22,"261,582.44",,,,,,,,,,,,,,,,,,,,,
GA117353,Libraries on communities,"Department of Infrastructure, Transport, Regional Development and Communications",19-Aug-20,28-Aug-20,Drought,25-Aug-2020 to 7-Dec-2021,"1,000,000.00",No,No,ITCRD 20/21 Regional Development,Drought Communities Program,Libraries on communities,A grant has been awarded to support local community infrastructure and other drought relief projects for communities who have been impacted by drought.,DCP000610,No,No,CENTRAL DESERT REGIONAL COUNCIL,93 873 628 303,ALICE SPRINGS,ALICE SPRINGS,870,NT,AUSTRALIA,NT,870,AUSTRALIA,,Closed Non-Competitive,GO1683,Drought Communities Programme - Extension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA11753,Commonwealth Home Support Programme,Department of Health,13-Mar-18,23-Jul-18,Aged Care,1-Jul-2018 to 30-Jun-2022,"1,068,781.32",No,No,DoH 18/19 Health Output 6.2 2018-19 Aged Care Services,Centre Based Respite,Commonwealth Home Support Programme,"The Commonwealth Home Support Programme aims to support eligible older people to live as independently as possible, in their own home and community, for as long as they can and wish, through the provision of timely, entry-level home support services.",4-7W4X0O1,No,No,Central Desert Regional Council,93 873 628 303,ALICE SPRINGS,ALICE SPRINGS,871,NT,AUSTRALIA,NT,,AUSTRALIA,"['GA11753-V2 - Change to End Date (26-Aug-2020 )', 'GA11753-V1 - Increase in funding (19-Mar-2019 )']",Closed Non-Competitive,,,,,,,1-Jul-18,30-Jun-20,"522,253.00",1-Jul-18,30-Jun-22,"1,068,781.32",,,,,,,,,,,,,,,,,,,,,
GA11786,Commonwealth Home Support Programme,Department of Health,13-Mar-18,23-Jul-18,Aged Care,1-Jul-2018 to 30-Jun-2022,"591,205.46",No,No,DoH 21/22 Hlth Output 3.2 Aged Care Services,Centre Based Respite,Commonwealth Home Support Programme,"The Commonwealth Home Support Programme aims to support eligible older people to live as independently as possible, in their own home and community, for as long as they can and wish, through the provision of timely, entry-level home support services.",4-7WB8F8Z,No,No,Julalikari Council Aboriginal Corporation,52 109 391 552,TENNANT CREEK,TENNANT CREEK,860,NT,AUSTRALIA,NT,,AUSTRALIA,"['GA11786-V3 - Increase in funding (12-Oct-2021 )', 'GA11786-V2 - Change to End Date (26-Aug-2020 )', 'GA11786-V1 - Increase in funding (19-Mar-2019 )']",Closed Non-Competitive,,,,,,,1-Jul-18,30-Jun-20,"285,363.47",1-Jul-18,30-Jun-22,"583,991.18",1-Jul-18,30-Jun-22,"591,205.46",,,,,,,,,,,,,,,,,,
GA11798,Commonwealth Home Support Programme,Department of Health,13-Mar-18,23-Jul-18,Aged Care,1-Jul-2018 to 30-Jun-2022,"351,486.00",No,No,DoH 21/22 Hlth Output 3.2 Aged Care Services,Centre Based Respite,Commonwealth Home Support Programme,"The Commonwealth Home Support Programme aims to support eligible older people to live as independently as possible, in their own home and community, for as long as they can and wish, through the provision of timely, entry-level home support services.",4-7W5B781,No,No,Barkly Regional Council,32 171 281 456,TENNANT CREEK,TENNANT CREEK,860,NT,AUSTRALIA,NT,,AUSTRALIA,"['GA11798-V4 - Increase in funding (12-Oct-2021 )', 'GA11798-V3 - Decrease in funding (12-Apr-2021 )', 'GA11798-V2 - Change to End Date (26-Aug-2020 )', 'GA11798-V1 - Increase in funding (19-Mar-2019 )']",Closed Non-Competitive,,,,,,,1-Jul-18,30-Jun-20,"214,558.02",1-Jul-18,30-Jun-22,"439,089.12",1-Jul-18,30-Jun-22,"348,746.15",1-Jul-18,30-Jun-22,"351,486.00",,,,,,,,,,,,,,,
GA11809,Commonwealth Home Support Programme,Department of Health,13-Mar-18,23-Jul-18,Aged Care,1-Jul-2018 to 30-Jun-2022,"362,252.97",No,No,DoH 21/22 Hlth Output 3.2 Aged Care Services,Centre Based Respite,Commonwealth Home Support Programme,"The Commonwealth Home Support Programme aims to support eligible older people to live as independently as possible, in their own home and community, for as long as they can and wish, through the provision of timely, entry-level home support services.",4-7VWOOPQ,No,No,East Arnhem Regional Council,92 334 301 078,NHULUNBUY,NHULUNBUY,880,NT,AUSTRALIA,NT,,AUSTRALIA,"['GA11809-V3 - Increase in funding (12-Oct-2021 )', 'GA11809-V2 - Change to End Date (26-Aug-2020 )', 'GA11809-V1 - Increase in funding (19-Mar-2019 )']",Closed Non-Competitive,,,,,,,1-Jul-18,30-Jun-20,"174,536.64",1-Jul-18,30-Jun-22,"357,186.09",1-Jul-18,30-Jun-22,"362,252.97",,,,,,,,,,,,,,,,,,
GA11857,Commonwealth Home Support Programme,Department of Health,13-Mar-18,23-Jul-18,Aged Care,1-Jul-2018 to 30-Jun-2022,"33,714.71",No,No,DoH 21/22 Hlth Output 3.2 Aged Care Services,Centre Based Respite,Commonwealth Home Support Programme,"The Commonwealth Home Support Programme aims to support eligible older people to live as independently as possible, in their own home and community, for as long as they can and wish, through the provision of timely, entry-level home support services.",4-7XL7E6V,No,No,Ngaanyatjarra Pitjantjatjara Yankunytjatjara Women's Council Aboriginal Corporat,77 902 127 562,ALICE SPRINGS,ALICE SPRINGS,870,NT,AUSTRALIA,NT,,AUSTRALIA,"['GA11857-V4 - Increase in funding (12-Oct-2021 )', 'GA11857-V3 - Increase in funding (23-Oct-2020 )', 'GA11857-V2 - Change to End Date (26-Aug-2020 )', 'GA11857-V1 - Increase in funding (13-May-2019 )']",Closed Non-Competitive,,,,,,,1-Jul-18,30-Jun-20,"15,193.27",1-Jul-18,30-Jun-22,"31,092.73",1-Jul-18,30-Jun-22,"31,242.72",1-Jul-18,30-Jun-22,"33,714.71",,,,,,,,,,,,,,,
GA11933,Commonwealth Home Support Programme,Department of Health,13-Mar-18,23-Jul-18,Aged Care,1-Jul-2018 to 30-Jun-2022,"247,276.55",No,No,DoH 18/19 Health Output 6.2 2018-19 Aged Care Services,Assistance with Care and Housing,Commonwealth Home Support Programme,"The Commonwealth Home Support Programme aims to support eligible older people to live as independently as possible, in their own home and community, for as long as they can and wish, through the provision of timely, entry-level home support services.",4-7VWOOKD,No,No,East Arnhem Regional Council,92 334 301 078,NHULUNBUY,NHULUNBUY,880,NT,AUSTRALIA,NT,,AUSTRALIA,"['GA11933-V2 - Change to End Date (26-Aug-2020 )', 'GA11933-V1 - Increase in funding (19-Mar-2019 )']",Closed Non-Competitive,,,,,,,1-Jul-18,30-Jun-20,"120,830.06",1-Jul-18,30-Jun-22,"247,276.55",,,,,,,,,,,,,,,,,,,,,
GA12000,Commonwealth Home Support Programme,Department of Health,13-Mar-18,23-Jul-18,Aged Care,1-Jul-2018 to 30-Jun-2022,"2,179,563.52",No,No,DoH 18/19 Health Output 6.2 2018-19 Aged Care Services,Allied Health and Therapy Services,Commonwealth Home Support Programme,"The Commonwealth Home Support Programme aims to support eligible older people to live as independently as possible, in their own home and community, for as long as they can and wish, through the provision of timely, entry-level home support services.",4-87WOU4A,No,No,Central Australian Aboriginal Congress Aboriginal Corporation,76 210 591 710,ALICE SPRINGS,ALICE SPRINGS,871,NT,AUSTRALIA,NT,,AUSTRALIA,"['GA12000-V2 - Change to End Date (26-Aug-2020 )', 'GA12000-V1 - Increase in funding (29-Mar-2019 )']",Closed Non-Competitive,,,,,,,1-Jul-18,30-Jun-20,"1,065,029.46",1-Jul-18,30-Jun-22,"2,179,563.52",,,,,,,,,,,,,,,,,,,,,
GA120153,Ngaruwanajirri Incorporated Indigenous Visual Art Industry Support,"Department of Infrastructure, Transport, Regional Development and Communications",7-Jul-20,3-Sep-20,Humanities,20-Aug-2020 to 30-Nov-2021,"88,000.00",No,No,ITCRD 20/21 2.1,Indigenous Visual Arts Industry Support,Ngaruwanajirri Incorporated Indigenous Visual Art Industry Support,To support Ngaruwanajirri Incorporated to deliver services to Indigenous visual artists with disabilities based at Wurrumiyanga on Bathurst Island in Northern Territory.,IVAIS00410,No,No,Ngaruwanajirri Inc,20 026 465 034,Wurrumiyanga,Wurrumiyanga,822,NT,AUSTRALIA,NT,,AUSTRALIA,,Open Competitive,GO3250,"Indigenous Visual Arts Industry Support, Grant Round 2019/20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA120159,Barkly Regional Arts Incorporated Indigenous Visual Arts Industry...,"Department of Infrastructure, Transport, Regional Development and Communications",6-May-20,3-Sep-20,Humanities,25-Aug-2020 to 30-Nov-2025,"1,815,000.00",No,No,ITCRD 20/21 2.1,Indigenous Visual Arts Industry Support,Barkly Regional Arts Incorporated Indigenous Visual Arts Industry Support,To support Barkly Regional Arts to provide services to visual artists based in the Barkly Region and engage Indigenous arts workers.,IVAIS00322,No,No,Barkly Regional Arts Inc,43 251 655 430,Tennant Creek,Tennant Creek,860,NT,AUSTRALIA,NT,,AUSTRALIA,,Closed Non-Competitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA120160,Bawinanga Aboriginal Corporation Indigenous Visual Arts Industry Support,"Department of Infrastructure, Transport, Regional Development and Communications",6-May-20,3-Sep-20,Humanities,25-Aug-2020 to 30-Nov-2025,"2,062,500.00",No,No,ITCRD 20/21 2.1,Indigenous Visual Arts Industry Support,Bawinanga Aboriginal Corporation Indigenous Visual Arts Industry Support,To support Maningrida Arts to provide services to visual artists based in the Maningrida community and engage Indigenous arts workers.,IVAIS00314,No,No,Bawinanga Aboriginal Corp,58 572 395 053,Maningrida,Maningrida,822,NT,AUSTRALIA,NT,,AUSTRALIA,,Closed Non-Competitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA121385,Growth Grant,"Department of Industry, Science, Energy and Resources",4-Sep-20,8-Sep-20,Industry Innovation,4-Sep-2020 to 10-Feb-2022,"22,000.00",No,No,DISER 20/21 Growing Business Investment & Improving Business Capability,Entrepreneurs' Programme – Business Management,Growth Grant,A Growth Grant has been awarded to undertake strategic business activities.,EPGG000191,No,No,ADELAIDE RIVER GRAZING CO. PTY LTD,88 110 150 386,ADELAIDE RIVER,ADELAIDE RIVER,846,NT,AUSTRALIA,NT,822,AUSTRALIA,,Demand Driven,GO111,Entrepreneurs' Programme - Growth Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA12143,Commonwealth Home Support Programme,Department of Health,13-Mar-18,23-Jul-18,Aged Care,1-Jul-2018 to 30-Jun-2022,"914,189.12",No,No,DoH 21/22 Hlth Output 3.2 Aged Care Services,Flexible Respite,Commonwealth Home Support Programme,"The Commonwealth Home Support Programme aims to support eligible older people to live as independently as possible, in their own home and community, for as long as they can and wish, through the provision of timely, entry-level home support services.",4-7XMIIQB,No,No,Ngaanyatjarra Pitjantjatjara Yankunytjatjara Women's Council Aboriginal Corporat,77 902 127 562,ALICE SPRINGS,ALICE SPRINGS,870,NT,AUSTRALIA,NT,,AUSTRALIA,"['GA12143-V4 - Increase in funding (12-Oct-2021 )', 'GA12143-V3 - Increase in funding (23-Oct-2020 )', 'GA12143-V2 - Change to End Date (26-Aug-2020 )', 'GA12143-V1 - Increase in funding (13-May-2019 )']",Closed Non-Competitive,,,,,,,1-Jul-18,30-Jun-20,"439,104.16",1-Jul-18,30-Jun-22,"898,618.71",1-Jul-18,30-Jun-22,"902,953.36",1-Jul-18,30-Jun-22,"914,189.12",,,,,,,,,,,,,,,
GA12191,Commonwealth Home Support Programme,Department of Health,13-Mar-18,23-Jul-18,Aged Care,1-Jul-2018 to 30-Jun-2022,"27,360.33",No,No,DoH 18/19 Health Output 6.2 2018-19 Aged Care Services,Allied Health and Therapy Services,Commonwealth Home Support Programme,"The Commonwealth Home Support Programme aims to support eligible older people to live as independently as possible, in their own home and community, for as long as they can and wish, through the provision of timely, entry-level home support services.",4-7XAOO0O,No,No,Tangentyere Council Aboriginal Corporation,81 688 672 692,CICCONE,CICCONE,870,NT,AUSTRALIA,NT,,AUSTRALIA,"['GA12191-V2 - Change to End Date (26-Aug-2020 )', 'GA12191-V1 - Increase in funding (19-Mar-2019 )']",Closed Non-Competitive,,,,,,,1-Jul-18,30-Jun-20,"13,369.44",1-Jul-18,30-Jun-22,"27,360.33",,,,,,,,,,,,,,,,,,,,,
