Column1,Community Name,Community ID,Aliases,Local Government,Main Language,Land Council,Other Languages,Electorate,Population,Longitude,Latitude,Location
165,Budjanga - Family Outstation,986,,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Barkly,5,136.768,-16.179,"East of Borroloola, on east bank of Wearyn River, within NT POR 3566"
684,Buffalo Farm - Family Outstation,1027,,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,5,132.594,-12.814,
243,Bujan - Family Outstation,257,"Budjana, Bujana, East Wyrean and Pujana",Roper Gulf,Not recorded,Northern Land Council,Not recorded,Barkly,5,136.879,-16.269,78 km  E  BORROLOOLA
459,Bukudal - Family Outstation,466,,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,16,136.614,-12.966,162 km FROM YIRRKALA
73,Bularring - Family Outstation,467,"Bukarring, Bularriny and Bularrinyur",East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,,135.703,-12.046,15 km East of Galiwinku
254,Bulgul - Family Outstation,300,Wadjigan,Un-Incorporated (cox-Daly),Not recorded,Northern Land Council,Not recorded,Daly,21,130.122,-13.084,220 Km from Darwin
304,Bulla - Minor,586,Gudabijin and Gurrbijim,Victoria Daly,Westside Kriol/ Ngarinyman,Northern Land Council,Not recorded,Gwoja,105,130.039,-15.765,Bulla is located west of Katherine near Judbarra / Gregory National Park as a Community Living Area within the Auvergne Pastoral Property.
628,Bulman - Major,587,"Gulin Gulin, Mardrulk and Yulngu",Roper Gulf,Eastside Kriol,Northern Land Council,Not recorded,Arnhem,329,134.333,-13.665,Bulman is located north east of Katherine and next to Weemol on the Arnhem Land Aboriginal Land Trust.
123,Buluhkaduru - Family Outstation,302,"Bukuhkaduru, Bulagadaru and Bulunkaduru",West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,32,134.423,-12.432,"Bulunkaduru community is located approximately 57 km by road south of Maningrida adjacent to the Caddell River.  Road access is reasonably good and is possible most of the year. It is only about one hour travelling time from Maningrida to Bulunkaduru., 57 km SOUTH OF MANINGRIDA"
135,Bundatharri - Family Outstation,468,Bundadharri,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,,134.847,-12.236,26 km FROM RAMINGINING
124,Bunhanura - Family Outstation,949,,East Arnhem,Not recorded,Northern Land Council,Not recorded,Arnhem,7,135.722,-12.374,"20 km from Gapuwiyak Community. 
"
665,Buni-Inwunbuluk - Family Outstation,976,Annesley Point,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,5,132.826,-11.406,This outstation is located approx 40 km from Murganella Ranger station.
35,Burrum - Family Outstation,470,Bulakator,East Arnhem,Not recorded,Northern Land Council,Not recorded,Arnhem,30,135.961,-12.309,43 KL FROM GAPUWIYAK
732,Burrumburru - Family Outstation,686,Dry Creek,Barkly,Not recorded,Northern Land Council,Not recorded,Barkly,,137.782,-17.742,Nicholson Area.  Can be accessed from Northern side (Calvert Hills/Benmara way)  China Wall only recommended for very experienced 4wheel drivers
718,Burt Creek - Family Outstation,713,Rice's Camp and Yambah-Mpweringe,Macdonnell,Not recorded,Central Land Council,Not recorded,Namatjira,22,133.748,-23.197,"The outstation is about 60km from  A/Springs. Turn west off the Stuart Hwy 58km from the Alice Springs PO then 1.5km to the outstation. Access from the highway is a flat-bladed track passable to 2WD vehicles in wet weather., The outstation is about 1 km west of the Stuart Hwy and 59km north of Alice Springs."
174,Burta Wurta - Family Outstation,944,Bardu Wardu and Birdiwater,Victoria Daly,Not recorded,Central Land Council,Not recorded,Gwoja,,130.476,-17.536,"Bardu Wardu, also known as Birdiwater, is located approx 45km west of Kalkarindji. It is managed by Daguragu Community Government Council., Bardu Wardu is located approx 45km west of Kalkarindji. Road access from Kalkarindji is via the Buchanan Hwy. This is a good gravelled road and open most of the year."
674,Burudu - Family Outstation,1019,Ranken,Barkly,Not recorded,Northern Land Council,Not recorded,Barkly,5,136.925,-19.599,"360km along Barkly Highway, then North up Rankin Road about 90km - opposit old Rankin store (Community visible from road)
NT Por 3826 - Burudu aboriginal Land Trust"
15,Bushcamp - Family Outstation,24994,Kalywanpa,Barkly,Not recorded,Central Land Council,Not recorded,Barkly,,134.154,-19.717,
180,Buymarr - Family Outstation,803,Buymarrwuy,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,6,136.637,-12.698,96 km FROM YIRRKALA
652,Camel Camp - Family Outstation,728,,Barkly,Not recorded,Central Land Council,Not recorded,Barkly,39,134.552,-22.272,"021 N 53K0453800  EUTM7536900, 230KMS VIA SANDOVER H'WAY
10km E. Sandover  H'way"
262,Camels Hump - Family Outstation,768,Camel's Hump and Ungkurrkuga,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,5,131.594,-23.752,70K WEST OF H'BURG
328,Cannon Hill - Family Outstation,304,East Alligator and Mel,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,12,132.946,-12.358,"Cannon Hill is located 40km north of Jabiru within Kakadu National Park., Via sealed section of Oenpelli Road and approximately 12km gravelled road."
412,Canteen Creek - Major,219,"Orwairtilla, Orwaitilla, Orwaitillya and Owairtilla",Barkly,Alyawarr,Central Land Council,Not recorded,Barkly,220,135.587,-20.645,"Canteen Creek is located south east of Tennant Creek, adjacent to the Creek of the same name in open eucalypt and acacia woodlands on the northern edge of the Davenport Ranges."
550,Cattle Creek - Family Outstation,11623,,Victoria Daly,Not recorded,Central Land Council,Not recorded,Gwoja,,131.545,-17.597,
722,Charlotte Waters - Family Outstation,846,,Macdonnell,Not recorded,Central Land Council,Not recorded,Namatjira,,134.893,-25.914,"1:250,000 TOPOGRAPHICAL MAP REF SG 53-6 FINKE.

62 KMS SE OF FINKE ALONG THE FINKE/NEWCROWN/MT DARE ROAD THENCE 2.6 KMS WEST OF ROAD., 494.6 KMS SOUTH OF ASP VIA STUART HIGHWAY TO KULGERA, THENCE ALONG KULGERA/FINKE ROAD TO FINKE, THEN ALONG FINKE/NEW CROWN/MT DARE ROAD."
397,Chilla Well - Family Outstation,757,Jila and Tjilla,Central Desert,Not recorded,Central Land Council,Not recorded,Gwoja,,130.971,-21.528,"3KMS SOUTH OF H'WAY, 415KMS VIA TANAMI H'WAY"
685,Chuluk - Family Outstation,779,"Chilluk, Chiluk and Djiluk",West Daly,Not recorded,Northern Land Council,Not recorded,Daly,,130.268,-13.665,26km OFF WOODY. ROAD
338,Conder Point - Family Outstation,1012,Condor Point and Yimpinari,Tiwi Islands,Not recorded,Tiwi Land Council,Not recorded,Arafura,5,131.328,-11.651,"ABOUT 13KM NE FROM CONDER POINT.
Jabiru ATSIC region"
636,Connells Lagoon - Family Outstation,901,,Barkly,Not recorded,Northern Land Council,Not recorded,Barkly,6,136.548,-18.891,"TENNANT CREEK REGION, 260km east-north-east of Tennant Creek and 30km north-west of Alexandria."
321,Corella Creek - Family Outstation,220,,Barkly,Not recorded,Northern Land Council,Not recorded,Barkly,56,135.857,-18.367,385K NE OF TENNANT CRK along the Barkly Highway past Brunette
269,Corkwood Bore - Family Outstation,1009,Morris Dam,Macdonnell,Not recorded,Central Land Council,Not recorded,Namatjira,27,133.868,-23.312,"Town of Alice Spriings
NT Por 5624 - Arnapipe Aboriginal Land Trust
60KM northeast of Alice Springs
Position determined from Bore RN 17693 Location."
409,Costello - Family Outstation,590,"Castello, Jilwili and Kastello",Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,5,134.883,-14.565,25 km N. NGUKURR
113,Cow Lagoon - Family Outstation,972,Talwallah,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Barkly,6,135.95,-16.208,"GPS LOCATION 11/2000
120 Townsite of Borroloola"
573,Crabhole - Family Outstation,24901,,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Barkly,5,137.099,-16.215,
204,Daguragu - Major,591,Dagaragu and Wattie Creek,Victoria Daly,Gurindji / Kriol,Central Land Council,Not recorded,Gwoja,284,130.805,-17.401,"Daguragu is located south west of Katherine, on the banks of Wattie Creek and near Kalkarindji on the Daguragu Aboriginal Land Trust."
603,Daliwuy Bay - Family Outstation,956,Dalywoi,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,,136.918,-12.341,"60 kms south of Nhulunbuy, about 40 mins drive from Nhulunbuy"
413,Daly Waters - Village,12194,,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Barkly,,133.369,-16.253,The Town is located 510km SSE Darwin.
41,Damdam - Family Outstation,307,Dam Dam,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,,134.645,-12.166,"Dam Dam community is located approx 111km by road south east of Maningrida. Driving time to Maningrida is about 2.5 hours, but access is not possible during the wet season., 110 km S/E OF MANINGRIDA"
313,Darrandarra - Family Outstation,1003,Southport,Litchfield,Not recorded,Northern Land Council,Not recorded,Daly,,130.955,-12.741,160 Hundred of Cavenagh
20,Darrangmurmanja - Family Outstation,472,Darrangmurumanja and Marble Point,East Arnhem,Not recorded,Anindilyakwa Land Council,Not recorded,Arnhem,,136.593,-13.725,40 KL FROM UMBAKUMBA
238,Deleye - Family Outstation,775,Delye,West Daly,Not recorded,Northern Land Council,Not recorded,Daly,8,129.977,-13.765,20km N of WOODYKUPILDDIYA
89,Dhalinybuy - Minor,473,Dhalingboy,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,94,136.388,-12.413,80 km FROM YIRRKALA
220,Dhambala - Family Outstation,896,,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,9,135.561,-12.053,5 km south of Galiwinku
376,Dhamiyaka - Family Outstation,475,,East Arnhem,Not recorded,Northern Land Council,Not recorded,Arnhem,,135.856,-12.656,25 km
458,Dhaniya - Family Outstation,955,Port Bradshaw,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,9,136.738,-12.55,Inside inlet of Port Bradshaw. About 2 hours drive.
205,Dharawa - Family Outstation,805,Dharrwar,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,,135.847,-11.849,44 km East of Galiwinku
261,Dharrni - Family Outstation,476,Dharri and Wuyindhangayn,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,,136.02,-13.75,
102,Dhayirri - Family Outstation,806,,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,20,135.619,-11.961,10 km North of Galiwinku
479,Dhipirrinjura - Family Outstation,477,Dhipirringura and Dipitji,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,30,135.098,-12.248,"24km ESE of Milingimbi on mainland., 220 KMS FROM NHULUNBUY"
687,Dholtji - Family Outstation,478,,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,,136.462,-11.948,100 km East of Galiwinku on the mainland.
716,Dhudupu - Family Outstation,664,,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,12,135.569,-12.003,5 km North of Galiwinku
700,Dhulmulmiya - Family Outstation,954,Spring Camp,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,,136.725,-12.528,Southern side of Port Bradshaw
762,Dhupuwamirri - Family Outstation,479,,East Arnhem,Not recorded,Northern Land Council,Not recorded,Arnhem,6,135.392,-12.668,"SW of Gapuwiyak, Two hours south west by road from Gapuwiyak"
658,Dhuruputjpi - Family Outstation,554,"Dhurputjpi, Dhurupujpi, Mayundji, Maywundji and Rurrunarla",East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,5,136.177,-13.055,211 km FROM YIRRKALA
657,Dillinya - Family Outstation,819,Dry Creek,Victoria Daly,Not recorded,Northern Land Council,Not recorded,Daly,,132.045,-15.857,"Dililinya is located approx 224km by road south west of Katherine., Road access is along the Victoria Hwy for 124km to the Delamere Road then  to the Gilnockie Station turnoff."
210,Ditchi - Family Outstation,310,Dithi and Ditji,West Daly,Not recorded,Northern Land Council,Not recorded,Daly,,129.409,-14.304,"Ditchi is located approx. 23km south of Port Keats.  
Its G.P.S coordinates are 14deg 18' 15"" S and 129deg 24'33""E, 27 km FROM PT. KEATS"
347,Djarrakpi - Family Outstation,482,Cape Shield and Djarrapi,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,5,136.352,-13.297,182 km FROM YIRRKALA. SWAMPY AREA IN WET AND NOT HABITABLE THEN. AIRSTRIP ABOUT 20 MIN WALK FROM COMMUNITY.
71,Djarrung - Family Outstation,670,Djurrung,Victoria Daly,Not recorded,Northern Land Council,Not recorded,Daly,5,131.538,-14.813,"Road access is via the Victoria Highway then along the Flora River National Park access road., Djarrung, alos known as Djalat, is located approx 125km by road west of Katherine adjacent to the Flora River National Pk."
151,Djinkarr - Family Outstation,965,,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,10,134.296,-12.213,14KMS SOUTH OF MANINGRIDA
410,Djirrbiyak - Family Outstation,981,Whistle Duck Dreaming,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,30,132.764,-12.729,LOCATION BY GPS
39,Djurranalpi - Family Outstation,484,Djanalpi,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,5,135.873,-11.847,45 km East of Galiwinku
619,Dons Bore - Family Outstation,46,"Ilbpilla, Illipunu, Illipuny and Mt Allan",Central Desert,Not recorded,Central Land Council,Not recorded,Gwoja,8,131.92,-22.262,"SITED 15KMS EAST OF YUENDUMU, 310KMS VIA YUENDUMU"
245,Donydji - Family Outstation,485,"Doindji, Donidji and Doyndji",East Arnhem,Not recorded,Northern Land Council,Not recorded,Arnhem,42,135.47,-12.89,"SW of Gapuwiyak, Two and one half hours to Gapuwiyak by road."
287,Doojum - Family Outstation,942,,Victoria Daly,Not recorded,Northern Land Council,Not recorded,Gwoja,,129.159,-15.725,"Doojum is located approx 230km by road west of Timber Creek in the Keep River National Park. It is managed by Ngaliwurru- Wuli Assoc at Timber Creek., Road access is via the Victoria Hwy for 207km and then through the Keep River National Park. Access is good most of the year."
750,Doolgarina - Family Outstation,812,Jibabana,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Barkly,,136.766,-16.229,
48,Double D - Family Outstation,24897,,Barkly,Not recorded,Central Land Council,Not recorded,Barkly,5,134.947,-21.232,
551,Duck Ponds - Family Outstation,631,"Kulingalimpau, Mirririnyungu and Murrinyu",Central Desert,Not recorded,Central Land Council,Not recorded,Gwoja,,131.278,-18.774,
161,Eagle Valley - Family Outstation,879,,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,,129.098,-24.93,
212,Eight Mile - Family Outstation,34,"8 Mile, Eromantataka, Erombantaka, New 8 Mile and New Eight Mile",Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,6,132.683,-23.887,"15KMS WEST OF H'BURG.***, 150KMS VIA H'BURG"
690,Elitjia - Family Outstation,920,Alkimilya,Macdonnell,Not recorded,Central Land Council,Not recorded,Namatjira,13,133.616,-23.777,"One of a number of outstations on the Iwupataka Land Trust, 21 km by road from Alice Springs"
56,Elliott - Village,12641,,Barkly,Kriol,Northern Land Council,Not recorded,Barkly,398,133.541,-17.553,Elliott is located north of Tennant Creek on the Stuart Highway
403,Elliott North Camp - Town Camp,225,"Elliott, Gurungu and North Camp",Barkly,Not recorded,Northern Land Council,Not recorded,Barkly,205,133.536,-17.55,"APPROXIMATELY 250KM NORTH OF TENNANT CREEK ON THE STUART HIGHWAY, Town Camp"
366,Elliott South Camp - Town Camp,224,"South Camp, Wilyugh, Wilyugoo and Wilyugu",Barkly,Not recorded,Northern Land Council,Not recorded,Barkly,42,133.557,-17.562,Approximately 250km North Of Tennant Creek On The Stuart Highway
399,Emu Point - Family Outstation,882,Mulyung,West Daly,Not recorded,Northern Land Council,Not recorded,Daly,72,130.328,-14.17,Turn south 18.6 km east of the Peppi turnoff on the Port Keats Road.
147,Engawala - Minor,33,Alcoota,Central Desert,"Eastern Arrente, Alyawarr",Central Land Council,Not recorded,Namatjira,181,134.455,-22.803,Engawala is a Community Living Area on the Alkwert Aboriginal Land Trust (previously the Alcoota Pastoral Property). Alcoota fossil site is just south of the community.
186,Ewyenper Atwatye - Town Camp,35,"Ewyenper-Atwatye, Hidden Valley and Ilpea Ilpea",Alice Springs,Not recorded,Central Land Council,Not recorded,Namatjira,282,133.9,-23.708,A/S Town camp
348,Finke - Major,36,Apatula and Aputula,Macdonnell,"Pitjantjatjara, Yankunytjatjara, Southern Luritja",Central Land Council,Not recorded,Namatjira,226,134.578,-25.582,"Finke is located near the South Australian border on and surrounded by the pastoral properties of Lilla Creek, Umbeara and New Crown with the Simpson Desert just west of the community."
132,Fitzroy Station - Family Outstation,950,,Victoria Daly,Not recorded,Northern Land Council,Not recorded,Daly,11,130.934,-15.563,"Fitzroy Station is located approximately 72km by road east of Timber Creek., Road access is via the Victoria Highway for 67km east of Timber Creek and then  along the Fitzroy Station road. Access  is good most of the year."
9,Five Mile - Family Outstation,57,"5 Mile, Intjarranga and Rutjinka",Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,5,132.848,-23.918,"10KMS FROM H'BURG.*** '92 ATSIC NEEDS SU, 135KMS VIA A/S"
725,Flicks Hole - Family Outstation,685,Flicks Waterhole and Wunoorill Assoc,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,,134.093,-15.616,
202,Fossil Head - Family Outstation,911,,West Daly,Not recorded,Northern Land Council,Not recorded,Daly,8,129.521,-14.538,"Approx. 40 km south of Port Keats
G.P.S coordinates are 14 deg 32' 21"" S & 129 deg 31' 36"" E, 440 km from Darwin"
488,Foxalls Well - Family Outstation,909,Foxells Well and Foxhalls Well,Central Desert,Not recorded,Central Land Council,Not recorded,Namatjira,5,134.824,-23.074,"TOWNSITE OF HART RANGE. APPROX. 30KM SE OF HART RANGE BY ROAD., APPROX. 30KM SE OF HART RANGE BY ROAD."
355,Galaru - Family Outstation,496,East Woody and Galuru,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,,136.757,-12.166,Approx 5 km from Nhulunbuy
248,Galawarra - Family Outstation,807,,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,16,135.594,-12.044,4 km South of Galiwinku
362,Galawdjapin - Family Outstation,489,Galadjapin and Galatjapan,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,12,134.818,-12.287,20kms FROM RAMINGINING
464,Galiwinku - Major,492,Elcho Island and Galiwin'ku,East Arnhem,"Yolngu Matha (Djambarrpuyngu, Gupapuyngu, Djinang)",Northern Land Council,Galpu,Mulka,2453,135.566,-12.024,"Galiwinku is located on the southern end of Elcho Island in North East Arnhem land west of Nhulunbuy.  Elcho Island is at the southern end of the Wessell Island group, and is bounded on the western side by the Arafura Sea and on the east by Cadell Strait."
719,Galupa - Family Outstation,495,Kings Village and Wardjuk,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,,136.689,-12.193,
29,Gamardi - Family Outstation,315,Gamedi and Jimarde,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,45,134.683,-12.274,"Gamardi Community is located 96km from Maningrida just off the road to Ji Marda.  Road access is only possible during the dry season and is about 2 hours driving time from Maningrida.  Access by air is possible all year round., 96 km FROM MANINGRIDA"
431,Gamargawan - Family Outstation,316,Gamargwan and Gamarrgawan,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,6,134.076,-12.649,190km (5/6hrs) E.OENPELLI
572,Gan Gan - Minor,498,Gangan,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,54,135.944,-13.046,206 km from Yirrkala
607,Ganiyarrang - Family Outstation,1024,"Guniara, Kanniyarang and Ross Hill",Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,,135.021,-14.475,"47 Km north east by road from Ngukurr, 600m west of road
Townsite of Ngukurr
Yugul Mangi Community Government Council
Garrak-Jarru"
487,Ganpura - Family Outstation,499,"Bapulu, Ganaburra and Ganpurra",East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,5,135.812,-11.885,"44.4km NE of Gitan (Com ID 510) just up off the beach.
40 km East of Galiwinku."
392,Gapuwiyak - Major,500,Lake Evella,East Arnhem,Yolngu Matha (Djambarrpuyngu),Northern Land Council,Not recorded,Arnhem,1085,135.806,-12.503,Gapuwiyak is located adjacent to Lake Evella and the upper reaches of the Buckinham River in North East Arnhem Land and is part of the Arnhem Land Aboriginal Land Trust.
404,Garanydjirr - Family Outstation,963,,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,6,135.021,-12.282,
691,Garawa 1 - Town Camp,229,Borroloola Town Camp and Garawa,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Barkly,79,136.321,-16.069,"Borroloola, 700km's to Tennant Creek"
633,Garawa 2 - Town Camp,992,"Borroloola Town Camp, Garawa and Gawawa",Roper Gulf,Not recorded,Northern Land Council,Not recorded,Barkly,56,136.319,-16.074,
427,Garrinjinny - Family Outstation,993,Garrinjini,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Barkly,8,135.648,-16.675,Town of Borroloola
18,Garriyak - Family Outstation,504,"Garrandngjur, Garriyakngurr and Giarriyakgur",East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,,135.563,-12.149,Access from Galiwinku is by boat and plane. Road access is via the Marparu - Gapuwiyak road. Garriyak is 114 km from Gapuwiyak by road.
417,Garrthalala - Family Outstation,505,Garrtbalala,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,47,136.569,-12.763,134 km FROM YIRRKALA
588,Gatji - Family Outstation,507,Gadji and Gartji,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,5,134.82,-12.273,22 km FROM RAMINGINING
701,Gawa - Family Outstation,508,,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,61,135.905,-11.76,"Gawa is approximately 50 km north east of Galiwinku, located on the north eastern end of Elcho Island."
30,Gikal - Family Outstation,509,,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,5,136.32,-12.052,"Gilkal outstation is approximately 90 km south east of Galiwinku located on the mainland., Approximately 140km from Nhulunbuy"
748,Gilbert Springs - Family Outstation,38,Ltalaltuma,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,,132.481,-23.972,"35KMS SOUTH WEST OF H'BURG., 160KMS VIA H'BURG"
593,Gilirri - Family Outstation,490,Galerra and Gelerri,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,,134.817,-12.33,20 kms North  of Ramingining
2,Gilwi - Family Outstation,597,"11 Mile, Twelve Mile Bore and Twelve Mile Hole",Victoria Daly,Not recorded,Northern Land Council,Not recorded,Daly,46,130.533,-15.787,"Road access is via the Victoria Hwy for 15km east of Timber Creek and then along the Bullita Road. Access is good most of the year., Gilwi, also known as 12 mile camp, is located approx 20km by road south east of timber Creek."
301,Gimbat - Family Outstation,945,,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,,132.608,-13.579,"Gimbat is located approx 205km by road north of Katherine in Kakadu National Park. It is managed by the Jawoyn Association in Katherine and was survey for this report., Main road access from Katherine is via the Stuart and Kakadu Highways until the Gunlom (UDP Falls) turnoff then along this gravelled road for 45km. Access is possible most of the year."
635,Gitan - Family Outstation,510,Gitjan,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,,135.782,-11.912,Approximately 37km east of Galiwinku on the northern shore of Elcho Island.
755,Gochan Jiny Jirra - Minor,319,"Cadell Gunardpa, Gochan Jiny-Jirra, Gochin Jiny Jard, Gochin Jiny Jirra, Gochin Jiny-Jirra and Gotjanjinjirra",West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,33,134.458,-12.199,"Gochin Jiny Jirra community (Caddell) is located approx 38km by good formed and gravelled road south east of Maningrida on the western side of the Caddell River. Road access from Maningrida is good and the community is accessible all year. It is about 25 minutes driving time to Maningrida., 38km SE OF MANINGRIDA"
432,Gonguruwuy - Family Outstation,669,"Goyngurumuy, Gunguruwuy, Inglis Island and Wataynga",East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,,136.151,-12.066,Approximately 90 km east of Galiwinku located on Inglis Island. Access from Galiwinku is by boat.
5,Goolminyini - Family Outstation,723,Devil Spring,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Barkly,25,136.098,-16.158,45 km FROM BORROLOOLA
118,Gorpulyul - Family Outstation,596,"Dalangarr, Galpulyu, Galpyul, Gulpuliyul and Gulpulyal",Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,,134.146,-13.346,Located 55 km north west of Bulman
110,Gorrong-Gorrong - Family Outstation,321,Gorong Gorong and Gorron Gorrong,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,5,134.495,-12.123,35 km S/E OF MANINGRIDA
655,Green Valley - Family Outstation,44,Ililli and Kumanjaye,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,10,131.738,-23.151,"15KMS WEST OF PAPUNYA           '92 ATSI, 255KMS VIA PAPUNYA"
97,Gudjekbin - Family Outstation,740,"Gubjekbinj, Gudjerbinj and Kujakbi",West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,,133.801,-12.251,"Road access from Oenpelli is via the Maningrida road for 100km ans via a 2 wheeled track from the turn off up to Gudjekbin. Access during  the wet season is not possible., 120 km EAST OF OENPELLI."
632,Gul Gul - Family Outstation,741,Danger Point and Gulgul,,Not recorded,,Not recorded,Arafura,,132.338,-11.13,84 km FROM BLACK POINT
521,Gulardi - Family Outstation,24905,,Victoria Daly,Not recorded,Northern Land Council,Not recorded,Daly,22,130.484,-15.713,
746,Gulmarri - Family Outstation,512,"Galmarri, Gulamarri, Gulmari and Gulumarri",East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,10,135.822,-11.917,35 km NORTH  EAST FROM GALIWINKU
585,Gulngarring - Family Outstation,867,,Coomalie,Not recorded,Northern Land Council,Not recorded,Daly,,131.098,-13.139,8km NORTH ADELAIDE RIVER
574,Gulunguru - Family Outstation,204,"Alroy Downs, Gulunurru and Gulunuru",Barkly,Not recorded,Northern Land Council,Not recorded,Barkly,5,136.039,-19.354,275Kms E OF TENNANT CRK
282,Gumarrirnbang - Family Outstation,328,"Gumarinbarn, Gumarrinbang and Kumarrinban",West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,17,133.997,-12.329,145km (3hrs) EX OENPELLI
288,Gumeragi - Family Outstation,308,"Gamuriggi, Gumaragi and Reef Point",West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,6,132.165,-11.169,6 KMS FROM BLACK POINT
604,Gumuluji - Family Outstation,691,Wallis Creek,Barkly,Not recorded,Northern Land Council,Not recorded,Barkly,,137.48,-17.935,
503,Gumuruguru - Family Outstation,497,"Gamarragurra, Gamarru Guyurru, Gamurru Guyurra, Garmalatjirrina and Gumugumuk",East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,10,134.763,-12.06,"Gumarragurraya also known as Gamurru Guyurru is located 129km by road east of Maningrida. Dry season driving time to Maningrida is not possible in the Wet season .  Boat access to Milingimbi - 45 minutes by boat., 260 from Nhulunbuy"
37,Gunbalanya - Major,329,Kunbarllanjnja and Oenpelli,West Arnhem,Kunwinjku,Northern Land Council,Not recorded,Arafura,1312,133.056,-12.324,"Gunbalanya is located east of Darwin within Arnhem Land near the East Alligator River on a small ridge between coastal black soil plain, marshes and the Arnhem Land Escarpment. Gunbalanya is part of the Arnhem Land Aboriginal Trust."
130,Gunyangara - Minor,514,"Drimmie Head, Marngarr and Ski Beach",East Arnhem,Yolgnu Matha(Gumatj),Northern Land Council,Not recorded,Mulka,282,136.706,-12.215,Gunyangara is located on Gunyangara Island in Melville Bay. The small island is joined to the mainland by a causeway at Drimmie Peninsula west of Nhulunbuy.
586,Gupanga - Family Outstation,330,Kopunga,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,,134.584,-12.075,
